arm,seed,split,lane,scenario_id,success,recorded_feasible_success,outcome,time_s,final_distance_m,final_speed_mps,path_m,straight_distance_m,energy_proxy_j,handovers,outage_s,dropped_bits,delay_proxy_mean_s,interference_mean_w,sinr_mean_db,sinr_p05_db,rss_mean_dbm,raw_return,path_to_endpoint_distance_ratio,service_deficit_fraction,longest_service_deficit_s,delay_above_one_s_fraction,max_delay_proxy_s,final_buffer_bits
reward_only,1105,longer_test,48,42013_0048,True,True,success,88.0,6.13116455078125,0.8403851985931396,1409.9031982421875,1396.867919921875,20148.29296875,9,0.0,0.0,5.943663734032518,6.185567361750476e-07,-8.41247844696045,-21.003429412841797,-40.897727966308594,32.51928502507508,1.0093317901674208,0.29545454545454547,6.0,0.2727272727272727,200.0,0.0
reward_only,1105,longer_test,49,42013_0049,True,True,success,107.0,2.4575917720794678,1.5039798021316528,1780.7744140625,1766.1512451171875,25543.134765625,9,1.0,0.0,3.7784246261814767,8.939444272510908e-07,-10.073074340820312,-19.859363555908203,-40.2149543762207,37.63995580561459,1.0082796810215098,0.3177570093457944,6.0,0.2523364485981308,200.0,0.0
reward_only,1105,longer_test,50,42013_0050,True,False,success,86.0,4.224515914916992,0.26811322569847107,1243.6549072265625,1234.84375,18099.40625,10,0.0,414927.08154296875,10.69008633529031,9.88403130339404e-07,-10.304973602294922,-22.784854888916016,-40.46511459350586,29.326383909210563,1.007135443027964,0.3953488372093023,9.0,0.45348837209302323,200.0,0.0
reward_only,1105,longer_test,51,42013_0051,True,True,success,119.0,9.381523132324219,1.6155760288238525,1642.188720703125,1638.9027099609375,24947.138671875,14,0.0,0.0,2.433718935062154,9.716143516115375e-07,-7.603638648986816,-19.313499450683594,-38.00840377807617,34.41136824991554,1.002005006595093,0.35294117647058826,5.0,0.2689075630252101,88.32154846191406,0.0
reward_only,1105,longer_test,52,42013_0052,True,True,success,96.0,3.258195161819458,0.48433369398117065,1572.867431640625,1562.27294921875,22447.912109375,6,0.0,0.0,4.6597248124501975,8.937999493123053e-07,-9.360187530517578,-21.10875701904297,-40.02083206176758,34.87200237624347,1.0067814541800606,0.3541666666666667,6.0,0.22916666666666666,146.705810546875,0.0
reward_only,1105,longer_test,53,42013_0053,True,True,success,115.0,2.4692931175231934,1.8060778379440308,1697.730224609375,1683.968505859375,25171.3984375,5,0.0,0.0,1.3789366798556368,9.251024086216089e-07,-8.900165557861328,-18.61842918395996,-39.408695220947266,36.64351538568735,1.0081721948493194,0.21739130434782608,4.0,0.14782608695652175,20.023393630981445,0.0
reward_only,1105,longer_test,54,42013_0054,True,True,success,76.0,4.9191813468933105,1.936416745185852,1296.9552001953125,1286.053955078125,18029.3203125,11,1.0,0.0,6.110239502508193,4.910558988207844e-07,-11.407382011413574,-20.950191497802734,-44.144737243652344,30.88530572503805,1.0084765068169517,0.4605263157894737,6.0,0.3684210526315789,200.0,0.0
reward_only,1105,longer_test,55,42013_0055,True,True,success,108.0,2.3159985542297363,1.3408945798873901,1762.4141845703125,1752.165283203125,25367.11328125,6,0.0,0.0,2.933984923141974,9.886871465722734e-07,-9.650280952453613,-20.03742218017578,-39.80555725097656,37.18442345224321,1.0058492777282126,0.37962962962962965,4.0,0.3055555555555556,98.09123229980469,0.0
reward_only,1105,longer_test,56,42013_0056,True,True,success,105.0,2.7335565090179443,0.7485778331756592,1764.5125732421875,1752.6505126953125,25191.5078125,10,1.0,0.0,6.600814979416984,3.9514602021773453e-07,-8.662376403808594,-21.41037368774414,-42.485713958740234,37.81534445658326,1.0067680695386514,0.26666666666666666,5.0,0.19047619047619047,200.0,0.0
reward_only,1105,longer_test,57,42013_0057,True,True,success,71.0,3.2681796550750732,1.1182615756988525,1173.6976318359375,1163.05224609375,16325.4921875,7,0.0,0.0,1.913358336917951,8.035988454574975e-07,-9.03564453125,-15.510347366333008,-40.09859085083008,29.616029040887952,1.0091529729450601,0.4225352112676056,11.0,0.39436619718309857,17.175477981567383,12123.640625
