arm,seed,split,episodes,success_rate,feasible_success_rate,failure_distance_mean_m,successful_time_s,successful_path_m,successful_energy_proxy_j,successful_handovers,successful_outage_s,successful_dropped_bits,successful_delay_proxy_mean_s,successful_interference_mean_w,successful_sinr_mean_db,successful_sinr_p05_db
reward_only,1103,longer_test,200,1.0,0.945,,101.53,1386.0790713500976,19954.45693359375,8.83,0.245,26123.31266357422,3.0549306230813533,7.498732989176339e-07,-8.279915962219238,-17.847963366508484
reward_only,1104,test,200,1.0,0.97,,43.135,581.4108555603027,8180.575678710938,3.495,0.07,5644.0023266601565,2.89602280543162,7.370863593591862e-07,-7.968660433888435,-17.077667109966278
reward_only,1104,longer_test,200,1.0,0.965,,81.345,1374.8786648559571,19539.419204101563,7.265,0.275,16632.38219116211,3.4379338184274757,7.573274696027179e-07,-8.650166981220245,-18.382460680007934
reward_only,1105,test,200,1.0,0.995,,47.95,579.7278713989258,8275.240362548828,3.82,0.105,5112.037216796875,2.52110477288102,7.385227685754393e-07,-7.925693204402924,-16.592102775573732
reward_only,1105,longer_test,200,1.0,0.975,,87.94,1373.615728149414,19677.40023925781,7.915,0.27,4799.173762207031,3.123764697966319,7.481800621912414e-07,-8.47978601694107,-18.122205247879027
fixed,1101,test,200,1.0,0.975,,36.125,573.2936117553711,8138.585753173828,2.94,0.07,3513.002981567383,2.657164163484444,7.332040176918151e-07,-8.079139614105225,-16.759901039600372
fixed,1101,longer_test,200,0.455,0.45,153.84340072771826,65.74725274725274,1168.0570115309495,16896.235340831045,6.142857142857143,0.26373626373626374,577.871823489011,3.495897395634338,7.769636302266727e-07,-8.944267755026345,-18.258920962993916
fixed,1102,test,200,1.0,0.985,,36.295,573.2953025054932,8163.008972167969,3.105,0.09,1305.8014208984375,3.11951520468259,7.388825278778338e-07,-8.25827788054943,-16.803091602325438
fixed,1102,longer_test,200,0.275,0.26,186.19545319655845,65.92727272727272,1128.385137384588,16498.362766335227,6.1454545454545455,0.2,4859.717169744318,3.0187924222356255,7.175076193470665e-07,-8.46587005962025,-17.628234880620784
fixed,1103,test,200,1.0,0.985,,36.63,571.1761061859131,8165.118399658203,3.055,0.075,5157.1883203125,2.772076080340725,7.417115669691697e-07,-8.07932918548584,-17.01945501089096
fixed,1103,longer_test,200,0.19,0.185,188.2128579410506,63.18421052631579,1092.9404698422081,15931.27775493421,5.2631578947368425,0.07894736842105263,1985.4981496710527,3.010077918350195,7.953236878087575e-07,-8.643203760448255,-18.100207228409616
fixed,1104,test,200,0.985,0.965,161.91547139485678,35.421319796954315,575.24558269675,8208.530068954235,2.8477157360406093,0.1065989847715736,8256.396122501586,2.8742371882379922,7.384860000320888e-07,-8.147517661152758,-16.680033303759426
fixed,1104,longer_test,200,0.395,0.385,155.75545262108164,66.74683544303798,1196.4702032547964,17385.445806962027,6.341772151898734,0.31645569620253167,633.2471321202531,3.1739443845757145,7.386938638462096e-07,-8.800773717180084,-17.899059042145936
fixed,1105,test,200,1.0,0.98,,38.105,575.2648672485352,8162.9654467773435,3.02,0.095,1952.398525390625,2.7517184239245696,7.378671201133423e-07,-8.063432019948959,-17.04385239839554
fixed,1105,longer_test,200,0.49,0.48,186.00846279368682,70.0,1171.2958131128428,17070.55661073023,6.183673469387755,0.2755102040816326,1593.4702646683672,3.126543359773899,7.726952891102773e-07,-8.641754342585195,-17.749449389321462
