lane,scenario_id,success,recorded_feasible_success,outcome,time_s,final_distance_m,final_speed_mps,path_m,straight_distance_m,energy_proxy_j,handovers,outage_s,dropped_bits,delay_proxy_mean_s,interference_mean_w,sinr_mean_db,sinr_p05_db,rss_mean_dbm,raw_return
26,42003_0026,True,True,success,54.0,0.7988468408584595,4.7706993200336e-07,1194.114990234375,1193.3162841796875,16814.076171875,2,0.0,0.0,0.36503158843455213,8.678293389257979e-07,-7.239903926849365,-14.34543514251709,-38.01852035522461,32.02494111098349
27,42003_0027,True,True,success,63.0,0.4430829584598541,1.8786906003952026,1436.921875,1437.3653564453125,20151.552734375,7,0.0,0.0,0.6545507302655588,9.391458387119836e-07,-7.951857089996338,-15.52820110321045,-38.39682388305664,35.174770560115576
28,42003_0028,True,True,success,71.0,0.5826464295387268,4.76837158203125e-07,1623.599609375,1623.0177001953125,22809.8125,10,0.0,0.0,6.739074227570648,9.094992676605023e-07,-10.024677276611328,-21.635272979736328,-40.56338119506836,36.53056840598583
29,42003_0029,True,True,success,55.0,0.8023297786712646,5.960464477539063e-08,1218.117919921875,1217.315185546875,17153.513671875,6,0.0,0.0,1.1380564558235082,7.83760091590838e-07,-8.524286270141602,-18.540117263793945,-39.818180084228516,31.749693427234888
30,42003_0030,True,True,success,50.0,0.6383435726165771,5.960464477539063e-08,1089.184326171875,1088.54541015625,15363.876953125,4,0.0,0.0,2.6762717987596987,1.0387598626948603e-06,-10.09658432006836,-20.138906478881836,-40.040000915527344,29.79175293073058
31,42003_0031,False,False,connectivity,45.0,305.25469970703125,25.0,1062.5030517578125,1367.7579345703125,15050.0,3,5.0,2576.125,98007.51330957095,8.590690040616917e-07,-24.00486183166504,-150.0,-48.79999923706055,-5.611094653606415
32,42003_0032,True,True,success,71.0,0.6376655697822571,4.76837158203125e-07,1622.8887939453125,1622.2510986328125,22802.455078125,6,0.0,0.0,2.3151034742108427,9.583530822004525e-07,-8.58088207244873,-19.660276412963867,-39.08450698852539,36.921434603631496
33,42003_0033,True,True,success,72.0,0.7524516582489014,2.384185791015625e-07,1645.886962890625,1645.1351318359375,23132.185546875,6,0.0,0.0,3.039825248014596,1.124372098438976e-06,-10.255940437316895,-19.48087501525879,-39.875,36.99160584434867
34,42003_0034,True,True,success,73.0,0.4732436537742615,5.331201577973843e-07,1674.8026123046875,1674.32861328125,23522.474609375,8,0.0,0.0,8.415353259964757,6.891766101850645e-07,-9.501739501953125,-20.44637680053711,-41.328765869140625,37.11226453632116
35,42003_0035,True,True,success,71.0,0.17993180453777313,1.1460577249526978,1633.5906982421875,1633.770751953125,22915.109375,5,0.0,0.0,18.452519820084873,5.201769591593174e-07,-8.50682258605957,-20.780887603759766,-41.61971664428711,37.80945059284568
36,42003_0036,True,True,success,60.0,0.15215951204299927,1.0977611541748047,1358.30029296875,1358.4522705078125,19061.927734375,4,0.0,0.0,2.795120408510168,5.166197685942583e-07,-7.412055015563965,-18.650531768798828,-41.03333282470703,33.672863464802504
37,42003_0037,True,False,success,62.0,0.7982162833213806,2.6656007889869215e-07,1394.1624755859375,1393.3646240234375,19614.638671875,9,0.0,15761.484375,8.123945275561944,8.617795062506164e-07,-10.001884460449219,-20.44467544555664,-40.83871078491211,33.32244635745883
38,42003_0038,True,True,success,52.0,0.6226377487182617,0.0,1139.0052490234375,1138.3829345703125,16062.1875,3,0.0,0.0,0.7320973344433767,9.317264121259191e-07,-8.001604080200195,-16.086544036865234,-38.44230651855469,31.349279664456844
39,42003_0039,False,False,connectivity,15.0,1421.45849609375,24.999998092651367,312.4991149902344,1733.9576416015625,4550.0,0,5.0,0.0,200000.0,9.046423883773968e-07,-53.84019470214844,-150.0,-66.93333435058594,-1.5953871458768845
40,42003_0040,True,True,success,72.0,0.10924392938613892,1.0198274850845337,1657.832763671875,1657.941162109375,23256.837890625,7,3.0,0.0,16671.287208067304,9.043231246310926e-07,-15.157073974609375,-26.769756317138672,-43.47222137451172,37.20594957470894
41,42003_0041,True,True,success,48.0,0.06351097673177719,0.9319480061531067,1057.3077392578125,1057.3709716796875,14851.15625,5,0.0,0.0,4.735922324781616,8.370975657830589e-07,-10.327197074890137,-21.739309310913086,-41.29166793823242,29.438459740951657
42,42003_0042,True,True,success,55.0,0.44574302434921265,1.9217133522033691,1237.0511474609375,1237.4962158203125,17352.89453125,4,2.0,0.0,20214.262704719196,5.133577758442698e-07,-13.565492630004883,-25.57125473022461,-45.05454635620117,31.90402815118432
43,42003_0043,True,True,success,54.0,0.7262362837791443,2.384185791015625e-07,1196.451904296875,1195.726318359375,16837.841796875,4,0.0,0.0,1.7941628622615502,9.09231214631358e-07,-9.232648849487305,-16.935426712036133,-39.72222137451172,31.608323618769646
44,42003_0044,True,True,success,71.0,0.42344120144844055,2.384185791015625e-07,1625.2908935546875,1624.8675537109375,22827.666015625,5,0.0,0.0,4.206921061146742,8.749262844862066e-07,-10.317657470703125,-20.98693084716797,-41.0704231262207,37.06202008575201
45,42003_0045,True,True,success,64.0,0.1984160840511322,0.21170832216739655,1453.100341796875,1452.90185546875,20407.09375,6,0.0,0.0,0.6056644433992915,7.451910239986148e-07,-7.002463340759277,-13.509954452514648,-38.53125,35.37698260881007
46,42003_0046,True,True,success,76.0,0.08458556979894638,0.5931726098060608,1755.3072509765625,1755.222900390625,24629.873046875,9,0.0,0.0,4.234225197646179,1.104323529650748e-06,-10.596134185791016,-19.94245719909668,-40.30263137817383,38.053240206092596
47,42003_0047,True,True,success,54.0,0.592166543006897,5.960464477539063e-08,1188.6937255859375,1188.101806640625,16759.220703125,6,0.0,0.0,7.736426888792603,9.616634410273643e-07,-10.869318962097168,-21.481441497802734,-41.185184478759766,30.632345497608185
